,employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
0,65438,Sales & Marketing,region_7,Master's & above,f,sourcing,1,35,5.0,8,1,0,49,0
1,65141,Operations,region_22,Bachelor's,m,other,1,30,5.0,4,0,0,60,0
2,7513,Sales & Marketing,region_19,Bachelor's,m,sourcing,1,34,3.0,7,0,0,50,0
3,2542,Sales & Marketing,region_23,Bachelor's,m,other,2,39,1.0,10,0,0,50,0
4,48945,Technology,region_26,Bachelor's,m,other,1,45,3.0,2,0,0,73,0
5,58896,Analytics,region_2,Bachelor's,m,sourcing,2,31,3.0,7,0,0,85,0
6,20379,Operations,region_20,Bachelor's,f,other,1,31,3.0,5,0,0,59,0
7,16290,Operations,region_34,Master's & above,m,sourcing,1,33,3.0,6,0,0,63,0
8,73202,Analytics,region_20,Bachelor's,m,other,1,28,4.0,5,0,0,83,0
9,28911,Sales & Marketing,region_1,Master's & above,m,sourcing,1,32,5.0,5,1,0,54,0
10,29934,Technology,region_23,,m,sourcing,1,30,,1,0,0,77,0
11,49017,Sales & Marketing,region_7,Bachelor's,f,sourcing,1,35,5.0,3,1,0,50,1
12,60051,Sales & Marketing,region_4,Bachelor's,m,sourcing,1,49,5.0,5,1,0,49,0
13,38401,Technology,region_29,Master's & above,m,other,2,39,3.0,16,0,0,80,0
14,77040,R&D,region_2,Master's & above,m,sourcing,1,37,3.0,7,0,0,84,0
15,43931,Operations,region_7,Bachelor's,m,other,1,37,1.0,10,0,0,60,0
16,7152,Technology,region_2,Bachelor's,m,other,1,38,3.0,5,1,0,77,0
17,9403,Sales & Marketing,region_31,Bachelor's,m,other,1,34,1.0,4,0,0,51,0
18,17436,Sales & Marketing,region_31,Bachelor's,m,other,1,34,5.0,8,1,0,46,0
19,54461,Operations,region_15,Bachelor's,m,other,1,37,3.0,9,0,0,59,0
20,12067,Procurement,region_14,Bachelor's,m,other,1,35,3.0,7,0,0,75,0
21,33332,Operations,region_15,,m,sourcing,1,41,4.0,11,0,0,57,0
22,58789,Finance,region_11,Bachelor's,f,other,1,28,3.0,4,0,0,63,0
23,71177,Procurement,region_5,Bachelor's,m,other,1,27,,1,0,0,70,0
24,52057,Finance,region_22,Master's & above,m,sourcing,2,39,5.0,7,0,0,59,0
25,26585,Technology,region_22,Bachelor's,m,other,1,27,5.0,3,1,0,83,0
26,37749,Procurement,region_26,Bachelor's,m,other,1,31,5.0,4,1,0,68,0
27,2370,Technology,region_26,Bachelor's,m,other,1,33,4.0,4,0,0,79,0
28,8219,Analytics,region_5,Bachelor's,m,other,1,29,5.0,3,1,0,80,0
29,74759,Sales & Marketing,region_4,Bachelor's,m,sourcing,1,26,,1,0,0,44,0
30,27395,Procurement,region_15,Bachelor's,m,sourcing,1,37,5.0,10,1,0,72,0
31,58536,Finance,region_31,Bachelor's,m,other,2,26,1.0,2,0,0,61,0
32,35465,Sales & Marketing,region_7,,f,sourcing,1,24,1.0,2,0,0,48,0
33,51756,Operations,region_2,Bachelor's,m,sourcing,2,57,4.0,6,0,0,58,0
34,57011,Analytics,region_22,Bachelor's,m,other,2,27,5.0,3,1,0,87,0
35,77064,Sales & Marketing,region_22,Bachelor's,m,other,1,40,2.0,4,1,0,47,0
36,64062,Technology,region_28,Bachelor's,m,sourcing,1,33,4.0,4,1,0,75,0
37,47123,Sales & Marketing,region_7,Bachelor's,f,sourcing,1,40,5.0,3,0,0,47,0
38,56275,Sales & Marketing,region_1,Master's & above,m,other,1,42,5.0,5,1,0,51,0
39,58304,Sales & Marketing,region_28,Bachelor's,m,sourcing,1,33,5.0,6,1,0,51,1
40,25014,Technology,region_15,Bachelor's,m,other,1,34,3.0,10,0,0,80,0
41,40097,Operations,region_2,Bachelor's,f,other,2,23,4.0,2,1,0,57,0
42,23560,HR,region_2,Bachelor's,m,sourcing,1,59,4.0,26,1,0,52,0
43,17423,Sales & Marketing,region_2,,m,other,3,24,2.0,2,0,0,48,0
44,61758,Analytics,region_2,Bachelor's,m,other,1,44,5.0,12,0,0,88,0
45,75009,Procurement,region_17,Bachelor's,f,sourcing,1,50,5.0,11,0,0,71,0
46,17876,Procurement,region_13,Master's & above,f,other,1,37,4.0,4,0,0,71,0
47,36924,Technology,region_16,Bachelor's,m,sourcing,1,40,3.0,11,0,0,80,0
48,50408,Sales & Marketing,region_20,Bachelor's,m,sourcing,1,30,3.0,3,1,0,49,0
49,18013,Procurement,region_2,Master's & above,f,sourcing,1,56,3.0,12,0,0,73,0
50,24104,Finance,region_2,Bachelor's,m,sourcing,1,20,4.0,2,1,0,60,0
51,32083,Sales & Marketing,region_25,Bachelor's,f,sourcing,1,31,3.0,8,0,0,48,0
52,38330,Procurement,region_15,Bachelor's,m,sourcing,1,40,3.0,12,1,0,65,0
53,33690,HR,region_22,Bachelor's,m,other,1,30,1.0,6,0,0,50,0
54,73161,Operations,region_22,Bachelor's,m,other,1,39,3.0,5,1,0,62,0
55,13596,Analytics,region_31,Bachelor's,m,other,2,26,2.0,2,0,0,85,0
56,45709,Sales & Marketing,region_31,Bachelor's,f,other,1,29,,1,0,0,49,0
57,32709,R&D,region_22,Master's & above,m,sourcing,1,40,3.0,5,1,0,84,0
58,26599,Sales & Marketing,region_16,Bachelor's,m,other,2,27,,1,1,0,47,0
59,32656,Sales & Marketing,region_19,Bachelor's,m,other,1,40,4.0,7,0,0,52,0
60,17673,Sales & Marketing,region_4,Master's & above,m,other,1,50,4.0,17,1,0,47,1
61,3113,Sales & Marketing,region_29,Bachelor's,m,sourcing,1,25,3.0,3,0,0,53,0
62,9150,Analytics,region_22,Bachelor's,f,other,1,28,,1,1,0,80,0
63,14107,Sales & Marketing,region_1,Master's & above,m,sourcing,1,35,4.0,2,1,0,52,0
64,58747,R&D,region_26,Bachelor's,m,other,1,34,5.0,5,0,0,87,0
65,3342,Operations,region_13,Master's & above,f,sourcing,1,31,3.0,3,1,0,58,0
66,77981,Finance,region_22,Bachelor's,m,other,1,27,,1,1,1,58,1
67,16502,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,27,,1,0,0,61,1
68,73729,Procurement,region_10,Bachelor's,m,other,1,30,4.0,6,1,0,75,0
69,45624,Analytics,region_31,Bachelor's,m,other,1,30,3.0,7,1,0,84,1
70,75677,Operations,region_22,Bachelor's,f,other,1,50,5.0,5,1,0,59,0
71,24040,Technology,region_22,Master's & above,m,other,1,34,5.0,7,1,0,78,1
72,68082,Sales & Marketing,region_2,Master's & above,f,sourcing,1,41,1.0,12,0,0,52,0
73,51786,Sales & Marketing,region_16,Bachelor's,m,sourcing,1,32,4.0,6,0,0,44,0
74,77577,Sales & Marketing,region_7,Bachelor's,m,other,1,50,3.0,14,0,0,52,0
75,54782,Sales & Marketing,region_2,Master's & above,m,sourcing,1,38,4.0,2,1,0,49,1
76,52368,Sales & Marketing,region_27,Bachelor's,m,sourcing,2,29,1.0,5,0,0,51,0
77,75103,Sales & Marketing,region_30,Bachelor's,m,sourcing,1,35,4.0,3,1,0,53,0
78,7520,Analytics,region_2,Bachelor's,m,other,1,25,3.0,2,1,0,91,0
79,59147,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,30,3.0,3,0,0,58,1
80,53092,Technology,region_2,Bachelor's,m,referred,1,47,3.0,7,0,0,79,0
81,34564,Operations,region_4,Master's & above,m,sourcing,1,35,2.0,7,0,0,53,0
82,66013,Sales & Marketing,region_2,,m,sourcing,2,25,3.0,2,0,0,53,0
83,77135,R&D,region_22,Bachelor's,m,other,1,36,4.0,8,0,0,82,0
84,44575,Legal,region_7,Bachelor's,m,other,1,29,,1,0,0,65,1
85,47498,Operations,region_11,Master's & above,f,sourcing,1,42,5.0,11,1,0,60,1
86,20798,HR,region_20,Bachelor's,f,sourcing,1,28,2.0,6,0,0,52,0
87,69094,Sales & Marketing,region_2,,m,sourcing,1,39,1.0,9,0,0,49,0
88,22261,Procurement,region_7,Master's & above,m,sourcing,1,32,5.0,3,1,0,69,1
89,9589,Sales & Marketing,region_31,Bachelor's,f,other,1,31,,1,0,0,51,0
90,62658,Sales & Marketing,region_2,,f,sourcing,1,20,,1,0,0,55,0
91,21628,Analytics,region_12,Bachelor's,m,other,1,34,3.0,8,0,0,85,0
92,68484,Procurement,region_2,Master's & above,m,sourcing,2,46,4.0,3,1,0,74,0
93,44523,HR,region_2,Master's & above,m,other,1,47,3.0,7,0,0,44,0
94,35420,Operations,region_2,Bachelor's,f,other,1,44,4.0,13,0,0,53,0
95,43923,Analytics,region_14,Bachelor's,m,sourcing,1,31,4.0,4,1,0,86,0
96,64109,Technology,region_26,Bachelor's,f,sourcing,1,23,,1,0,0,77,0
97,41983,Operations,region_2,Bachelor's,f,sourcing,1,33,3.0,5,0,0,57,0
98,21440,Sales & Marketing,region_31,Bachelor's,m,other,1,41,3.0,12,1,0,52,0
99,51256,Finance,region_2,Master's & above,m,other,1,60,5.0,17,0,0,59,0
100,66635,Operations,region_15,Bachelor's,m,other,1,31,5.0,4,1,0,63,1
101,16027,Operations,region_26,Bachelor's,f,other,1,37,3.0,11,0,0,57,0
102,46020,Analytics,region_7,Bachelor's,m,sourcing,2,39,3.0,4,1,0,83,0
103,28509,Sales & Marketing,region_7,Bachelor's,m,other,1,40,5.0,8,1,0,54,0
104,33587,Sales & Marketing,region_28,Master's & above,m,sourcing,1,42,5.0,4,0,0,50,0
105,21387,Operations,region_13,Bachelor's,m,other,1,35,4.0,6,1,0,57,1
106,55927,Operations,region_13,Master's & above,f,sourcing,1,41,4.0,6,1,0,62,0
107,60763,Procurement,region_2,Bachelor's,f,other,1,23,3.0,2,0,0,73,0
108,53167,Sales & Marketing,region_16,Bachelor's,m,sourcing,2,31,3.0,4,0,0,50,0
109,32672,Analytics,region_22,Master's & above,m,other,1,42,2.0,19,0,0,79,0
