Unnamed: 0,department,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
0,1,1,2,1,1,35,5,8,1,0,49,0
1,2,2,1,2,1,30,5,4,0,0,60,0
2,1,2,1,1,1,34,3,7,0,0,50,0
3,1,2,1,2,2,39,1,10,0,0,50,0
4,3,2,1,2,1,45,3,2,0,0,73,0
5,4,2,1,1,2,31,3,7,0,0,85,0
6,2,2,2,2,1,31,3,5,0,0,59,0
7,2,1,1,1,1,33,3,6,0,0,63,0
8,4,2,1,2,1,28,4,5,0,0,83,0
9,1,1,1,1,1,32,5,5,1,0,54,0
10,3,2,1,1,1,30,3,1,0,0,77,0
11,1,2,2,1,1,35,5,3,1,0,50,1
12,1,2,1,1,1,49,5,5,1,0,49,0
13,3,1,1,2,2,39,3,16,0,0,80,0
14,5,1,1,1,1,37,3,7,0,0,84,0
15,2,2,1,2,1,37,1,10,0,0,60,0
16,3,2,1,2,1,38,3,5,1,0,77,0
17,1,2,1,2,1,34,1,4,0,0,51,0
18,1,2,1,2,1,34,5,8,1,0,46,0
19,2,2,1,2,1,37,3,9,0,0,59,0
20,5,2,1,2,1,35,3,7,0,0,75,0
21,2,2,1,1,1,41,4,11,0,0,57,0
22,6,2,2,2,1,28,3,4,0,0,63,0
23,5,2,1,2,1,27,3,1,0,0,70,0
24,6,1,1,1,2,39,5,7,0,0,59,0
25,3,2,1,2,1,27,5,3,1,0,83,0
26,5,2,1,2,1,31,5,4,1,0,68,0
27,3,2,1,2,1,33,4,4,0,0,79,0
28,4,2,1,2,1,29,5,3,1,0,80,0
29,1,2,1,1,1,26,3,1,0,0,44,0
30,5,2,1,1,1,37,5,10,1,0,72,0
31,6,2,1,2,2,26,1,2,0,0,61,0
32,1,2,2,1,1,24,1,2,0,0,48,0
33,2,2,1,1,2,57,4,6,0,0,58,0
34,4,2,1,2,2,27,5,3,1,0,87,0
35,1,2,1,2,1,40,2,4,1,0,47,0
36,3,2,1,1,1,33,4,4,1,0,75,0
37,1,2,2,1,1,40,5,3,0,0,47,0
38,1,1,1,2,1,42,5,5,1,0,51,0
39,1,2,1,1,1,33,5,6,1,0,51,1
40,3,2,1,2,1,34,3,10,0,0,80,0
41,2,2,2,2,2,23,4,2,1,0,57,0
42,7,2,1,1,1,59,4,26,1,0,52,0
43,1,2,1,2,3,24,2,2,0,0,48,0
44,4,2,1,2,1,44,5,12,0,0,88,0
45,5,2,2,1,1,50,5,11,0,0,71,0
46,5,1,2,2,1,37,4,4,0,0,71,0
47,3,2,1,1,1,40,3,11,0,0,80,0
48,1,2,1,1,1,30,3,3,1,0,49,0
49,5,1,2,1,1,56,3,12,0,0,73,0
50,6,2,1,1,1,20,4,2,1,0,60,0
51,1,2,2,1,1,31,3,8,0,0,48,0
52,5,2,1,1,1,40,3,12,1,0,65,0
53,7,2,1,2,1,30,1,6,0,0,50,0
54,2,2,1,2,1,39,3,5,1,0,62,0
55,4,2,1,2,2,26,2,2,0,0,85,0
56,1,2,2,2,1,29,3,1,0,0,49,0
57,5,1,1,1,1,40,3,5,1,0,84,0
58,1,2,1,2,2,27,3,1,1,0,47,0
59,1,2,1,2,1,40,4,7,0,0,52,0
60,1,1,1,2,1,50,4,17,1,0,47,1
61,1,2,1,1,1,25,3,3,0,0,53,0
62,4,2,2,2,1,28,3,1,1,0,80,0
63,1,1,1,1,1,35,4,2,1,0,52,0
64,5,2,1,2,1,34,5,5,0,0,87,0
65,2,1,2,1,1,31,3,3,1,0,58,0
66,6,2,1,2,1,27,3,1,1,1,58,1
67,1,2,1,1,1,27,3,1,0,0,61,1
68,5,2,1,2,1,30,4,6,1,0,75,0
69,4,2,1,2,1,30,3,7,1,0,84,1
70,2,2,2,2,1,50,5,5,1,0,59,0
71,3,1,1,2,1,34,5,7,1,0,78,1
72,1,1,2,1,1,41,1,12,0,0,52,0
73,1,2,1,1,1,32,4,6,0,0,44,0
